Type,Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
1,"Baressi Šegota, Sandi; Anđelić, Nikola; Kudláček, Jan; Čep, Robert; ",Artificial neural network for predicting values of residuary resistance per unit weight of displacement,Journal of Maritime & Transportation Sciences,57,1,Sep-22,2019,Udruga za proučavanje i razvoj pomorstva
1,"Baressi Šegota, Sandi; Lorencin, Ivan; Ohkura, Kazuhiro; Car, Zlatan; ","On the traveling salesman problem in nautical environments: an evolutionary computing approach to optimization of tourist route paths in Medulin, Croatia",Journal of Maritime & Transportation Sciences,57,1,71-87,2019,Udruga za proučavanje i razvoj pomorstva
2,"Mrzljak, Vedran; Baressi Šegota, Sandi; Kocijel, Lino; Prpić-Oršić, Jasna; ",Energy (isentropic) analysis of three-cylinder steam turbine with re-heating,Energy,10,,11,2020,
2,"Mrzljak, Vedran; Prpić-Oršić, Jasna; Poljak, Igor; Baressi Šegota, Sandi; ",Exergy analysis of steam condenser at various loads during the ambient temperature change,Machines. Technologies. Materials.,14,1,Dec-15,2020,"Scientific Technical Union of Mechanical Engineering"" Industry 4.0"""
3,"Baressi Šegota, Sandi; Anđelić, Nikola; Lorencin, Ivan; Saga, Milan; Car, Zlatan; ",Path planning optimization of six-degree-of-freedom robotic manipulators using evolutionary algorithms,International Journal of Advanced Robotic Systems,17,2,1.72988E+15,2020,"SAGE Publications Sage UK: London, England"
4,"Baressi Šegota, Sandi; Lorencin, Ivan; Musulin, Jelena; Štifanić, Daniel; Car, Zlatan; ",Frigate speed estimation using CODLAG propulsion system parameters and multilayer perceptron,NAŠE MORE: znanstveni časopis za more i pomorstvo,67,2,117-125,2020,Sveučilište u Dubrovniku
3,"Car, Zlatan; Baressi Šegota, Sandi; Anđelić, Nikola; Lorencin, Ivan; Mrzljak, Vedran; ",Modeling the Spread of COVID-19 Infection Using a Multilayer Perceptron,Computational and Mathematical Methods in Medicine,2020,,10,2020,Hindawi
2,"Prpić-Oršić, Jasna; Mrzljak, Vedran; Baressi Šegota, Sandi; Lorencin, Ivan; ",Solver parameter influence on the results of multilayer perceptron for estimating power output of a combined cycle power plant,Industry 4.0,5,3,114-117,2020,"Scientific Technical Union of Mechanical Engineering"" Industry 4.0"""
4,"Medica-Viola, Vedran; Baressi Šegota, Sandi; Mrzljak, Vedran; Štifanić, Daniel; ",Comparison of conventional and heat balance based energy analyses of steam turbine,Pomorstvo,34,1,74-85,2020,Pomorski fakultet u Rijeci
3,"Štifanić, Daniel; Musulin, Jelena; Miočević, Adrijana; Baressi Šegota, Sandi; Šubić, Roman; Car, Zlatan; ",Impact of COVID-19 on forecasting stock prices: an integration of stationary wavelet transform and bidirectional long short-term memory,Complexity,2020,,,2020,Hindawi
1,"Baressi Šegota, Sandi; Štifanić, Daniel; Ohkura, Kazuhiro; Car, Zlatan; ",Use of Artificial Neural Network for Estimation of Propeller Torque Values in a CODLAG Propulsion System,Journal of Maritime & Transportation Sciences,58,1,,2020,
1,"Lorencin, Ivan; Anđelić, Nikola; Baressi Šegota, Sandi; Štifanić, Daniel; Musulin, Jelena; Mrzljak, Vedran; Markova-Car, Elitza; Car, Zlatan; ",DATASET SIZE-BASED APPROACH IN DESIGN OF ARTIFICIAL NEURAL NETWORK FOR BREAST CANCER DIAGNOSIS,World of Health,1,3,13-19,2020,
1,"Musulin, Jelena; Štifanić, Daniel; Lorencin, Ivan; Baressi Šegota, Sandi; Anđelić, Nikola; Borović, Emanuel; Protić, Alen; Car, Zlatan; ",COMPARISON OF THREE ARTIFICIAL INTELLIGENCE ALGORITHMS FOR SEPSIS PREDICTION,World of Health,1,3,20-25,2020,
5,"Lorencin, Ivan; Anđelić, Nikola; Baressi Šegota, Sandi; Musulin, Jelena; Štifanić, Daniel; Mrzljak, Vedran; Španjol, Josip; Car, Zlatan; ",Edge Detector-Based Hybrid Artificial Neural Network Models for Urinary Bladder Cancer Diagnosis,Enabling AI Applications in Data Science,,,225-245,2020,"Springer, Cham"
2,"Baressi Šegota, Sandi; Anđelić, Nikola; Mrzljak, Vedran; Car, Zlatan; ",Fault Detection in Robotic Manipulators using Support Vector Machines,My First Conference,,,,2020,
3,"Baressi Šegota, Sandi; Lorencin, Ivan; Anđelić, Nikola; Mrzljak, Vedran; Car, Zlatan; ",Improvement of Marine Steam Turbine Conventional Exergy Analysis by Neural Network Application,Journal of Marine Science and Engineering,8,11,884,2020,Multidisciplinary Digital Publishing Institute
4,"Anđelić, Nikola; Baressi Šegota, Sandi; Lorencin, Ivan; Car, Zlatan; ",Estimation of gas turbine shaft torque and fuel flow of a CODLAG propulsion system using genetic programming algorithm,Pomorstvo,34,2,323-337,2020,Pomorski fakultet u Rijeci
2,"Mrzljak, Vedran; Lorencin, Ivan; Anđelić, Nikola; Baressi Šegota, Sandi; ",Comparison of three methods for the pump energy analysis,Mathematical Modeling,4,3,82-85,2020,"Scientific Technical Union of Mechanical Engineering"" Industry 4.0"""
4,"Mrzljak, Vedran; Baressi Šegota, Sandi; Meštrić, Hrvoje; Car, Zlatan; ","Comparison of Power Distribution, Losses and Efficiencies of a Steam Turbine with and without Extractions",Technical Journal,14,4,480-487,2020,Sveučilište Sjever
